cs_word_1,cs_word_2,average
oznámení,produkce,1.7
oznámení,snaha,1.2
oznámení,varování,6.6
oznámení,zprávy,6.6
pec,kamna,8.2
peníze,banka,2.1
peníze,bohatství,7.9
peníze,dolar,6.2
peníze,hotovost,8.4
peníze,hotovost,7.66666666667
peníze,majetek,6.4
peníze,měna,6.6
peníze,operace,0.4
peníze,praní,0.3
peníze,vklad,4.9
peníze,vlastnictví,4.6
peníze,výběr,1.4
pití,jíst,2.9
pití,ucho,0.2
pití,ústa,1.1
planeta,astronom,1.6
planeta,galaxie,3.9
planeta,hvězda,4.5
planeta,lidé,2.2
planeta,měsíc,4.2
planeta,slunce,3.8
planeta,souhvězdí,3.2
planeta,vesmír,3.4
plodnost,vejce,1.8
pobřeží,břeh,9.2
pobřeží,kopec,2.5
pobřeží,les,1.8
pohlaví,rovnost,0.8
pohroma,oblast,0.8
pojištění,odpovědnosti,1.2
pokus,mír,1.0
poledne,dvanáctá,8.7
poledne,vlákno,0.2
populace,rozvoj,0.9
postel,skříň,2.9
postup,instituce,2.44444444444
potraviny,peníze,2.0
pozorování,architektura,0.6
počasí,předpověď,3.3
počítač,internet,4.2
počítač,klávesnice,3.5
počítač,laboratoř,2.33333333333
počítač,software,4.7
počítač,zprávy,1.7
precedent,antecedent,4.1
precedent,informace,3.6
precedent,příklad,3.7
precedent,skupina,0.2
precedent,soubor,1.5
precedent,vědomí,1.8
precedent,zákon,3.7
prezident,medaile,1.0
problém,letiště,0.6
problém,výzva,5.4
produkce,výlet,0.6
produkce,štáb,5.4
profesor,doktor,3.6
profesor,okurka,0.3
právník,důkazy,1.6
právo,právník,2.8
psychologie,Freud,1.7
psychologie,deprese,1.5
psychologie,disciplína,3.9
psychologie,klinika,2.6
psychologie,lékař,1.7
psychologie,mysl,3.7
psychologie,psychiatrie,5.1
psychologie,strach,1.5
psychologie,věda,4.9
psychologie,vědomí,1.8
psychologie,zdraví,2.2
psychologie,úzkost,1.7
pták,jeřáb,4.7
pták,kohout,5.7
pít,auto,0.0
pít,matka,0.5
pět,měsíc,0.1
předsudek,rozpoznání,1.5
přeháňka,bouře,5.9
přeháňka,záplava,3.2
příjezd,hotel,0.8
příroda,člověk,2.0
příroda,životní prostředí,6.0
registrace,sjednání,2.77777777778
rekord,číslo,2.3
rock,jazz,4.5
rodina,plánování,0.4
ropa,akcie,2.0
rozmístění,odchod,0.4
rozum,hypertenze,1.6
rozum,kritérium,0.9
ryby,moře,2.2
sedm,série,2.1
seznam,blízkost,0.2
seznam,kategorie,5.5
situace,izolace,0.7
situace,závěr,1.9
sklad,jaguár,0.1
sklad,telefon,1.0
sklad,vajíčko,0.8
sklad,život,0.8
sklenice,kouzelník,0.6
sklo,kov,3.2
slovo,podobnost,1.1
smrt,hádka,1.4
smrt,pacient,1.6
směr,kombinace,0.9
soutěž,cena,4.1
společnost,akcie,3.4
sto,procento,1.7
století,národ,0.555555555556
století,rok,3.8
student,profesor,3.55555555556
středa,noviny,0.2
svatý,sex,0.5
síť,hardware,2.3
tajemník,senát,2.4
telefon,komunikace,3.3
telefon,výbava,1.6
televize,film,5.3
televize,rádio,3.7
tenis,raketa,2.1
tygr,fauna,2.2
tygr,jaguár,5.4
tygr,kočka,5.4
tygr,kočkovitý,2.2
tygr,masožravec,5.2
tygr,organismus,2.3
tygr,savec,4.6
tygr,tygr,10.0
tygr,zoo,1.6
tygr,zvíře,5.66666666667
typ,druh,9.1
ulice,avenue,8.5
ulice,blok,6.22222222222
ulice,děti,1.0
ulice,místo,3.7
velikost,význačnost,5.2
vesmír,chemie,1.5
vesmír,svět,4.4
video,archiv,1.2
vlak,auto,4.1
vláda,krize,1.5
voda,průsak,2.2
vodka,brandy,5.11111111111
vodka,gin,4.9
vražda,zabití,8.7
vstupné,lístek,7.9
vybavení,výrobce,1.0
vyšetřování,snaha,2.7
válka,vojáci,2.8
výbor,doporučení,1.2
výpočet,počítání,7.2
vývoj,otázka,1.9
věrohodnost,informace,2.9
zachování,svět,0.3
zaměření,život,0.4
začátek,rok,1.6
začátek,zápas,1.8
zařízení,ubytování,5.0
zbraň,tajný,0.2
země,občan,1.0
zisk,varování,0.4
zisk,ztráta,3.2
zkušenost,hudba,0.9
změna,postoj,1.9
znak,úpadek,0.8
zobrazení,povrch,1.5
zpoždění,rasismus,0.4
zpoždění,zprávy,0.5
zpráva,výnos,2.7
zákazník,energie,1.1
zákazník,sebevědomí,0.7
zápas,porážka,2.7
zásobit,žít,1.5
území,kilometr,2.2
území,povrch,5.1
časopis,sdružení,1.2
řád,udatnost,1.5
šampionát,turnaj,8.6
šance,důvěryhodnost,2.375
šatník,šaty,2.5
škola,centrum,3.5
šoustání,sex,8.9
šálek,artefakt,1.5
šálek,entita,0.8
šálek,jídlo,1.7
šálek,kus,1.4
šálek,věc,1.8
život,doba,2.8
život,lekce,2.3
život,smrt,3.0
životní prostředí,ekologie,6.2
