Word 1,Word 2,Human (Mean)
Jerusalem,Palestinian,2.429
journal,association,1.857
journey,car,2.000
journey,voyage,9.000
king,cabbage,0.385
king,queen,2.923
king,rook,3.077
lad,brother,4.846
lad,wizard,1.071
law,lawyer,3.786
lawyer,evidence,2.857
liability,insurance,3.385
life,death,1.600
life,lesson,1.538
life,term,3.231
line,insurance,1.143
liquid,water,7.538
listing,category,6.385
listing,proximity,1.571
lobster,food,5.143
lobster,wine,1.333
love,sex,6.000
lover,quarrel,0.923
luxury,car,1.800
magician,wizard,8.000
man,governor,3.692
man,woman,2.571
Maradona,football,2.857
marathon,sprint,4.133
Mars,scientist,2.533
Mars,water,0.615
media,gain,0.571
media,radio,6.000
media,trading,1.500
Mexico,Brazil,4.308
midday,noon,8.786
mile,kilometer,4.857
minister,party,2.462
ministry,culture,2.286
minority,peace,1.429
money,bank,4.000
money,cash,9.538
money,cash,9.077
money,currency,8.231
money,deposit,4.385
money,dollar,6.286
money,laundering,1.846
money,operation,1.286
money,possession,4.714
money,property,4.231
money,wealth,6.357
money,withdrawal,3.308
monk,oracle,2.500
monk,slave,1.769
month,hotel,1.067
morality,importance,1.231
morality,marriage,1.286
movie,critic,1.500
movie,popcorn,1.786
movie,star,1.867
movie,theater,5.846
murder,manslaughter,7.200
museum,theater,3.846
music,project,2.385
nature,environment,7.714
nature,man,1.923
network,hardware,2.000
news,report,6.143
noon,string,0.615
observation,architecture,1.538
oil,stock,1.692
OPEC,country,1.786
OPEC,oil,2.214
opera,industry,0.400
opera,performance,4.467
peace,atmosphere,1.692
peace,insurance,2.000
peace,plan,1.154
phone,equipment,3.857
physics,chemistry,2.769
physics,proton,3.000
plane,car,2.643
planet,astronomer,2.071
planet,constellation,3.000
planet,galaxy,4.571
planet,moon,4.286
planet,people,1.231
planet,space,3.929
planet,star,5.143
planet,sun,4.538
population,development,1.769
possibility,girl,0.846
practice,institution,2.286
precedent,antecedent,4.786
precedent,cognition,2.267
precedent,collection,1.643
precedent,example,5.308
precedent,group,0.615
precedent,information,2.143
precedent,law,3.923
prejudice,recognition,1.467
preservation,world,1.786
president,medal,1.667
problem,airport,0.929
problem,challenge,6.538
production,crew,3.214
production,hike,0.769
professor,cucumber,0.154
professor,doctor,5.143
profit,loss,2.071
profit,warning,1.615
psychology,anxiety,1.769
psychology,clinic,1.846
psychology,cognition,2.929
psychology,depression,2.857
psychology,discipline,2.733
psychology,doctor,2.929
psychology,fear,1.231
psychology,Freud,3.308
psychology,health,2.692
psychology,mind,4.615
psychology,psychiatry,5.714
psychology,science,4.000
reason,criterion,4.929
reason,hypertension,0.714
record,number,4.077
registration,arrangement,2.071
report,gain,1.462
rock,jazz,5.000
rooster,voyage,0.308
school,center,2.214
seafood,food,5.933
seafood,lobster,7.846
seafood,sea,2.385
secretary,senate,2.231
seven,series,1.923
shore,woodland,1.615
shower,flood,2.786
shower,thunderstorm,4.154
sign,recess,1.231
situation,conclusion,2.929
situation,isolation,1.500
size,prominence,3.857
skin,eye,0.923
smart,student,2.000
smart,stupid,3.214
soap,opera,2.071
space,chemistry,0.462
space,world,3.357
start,match,1.643
start,year,0.933
stock,CD,2.846
stock,egg,2.143
stock,jaguar,0.533
stock,life,1.200
stock,live,1.357
stock,market,4.385
stock,phone,1.429
street,avenue,8.615
street,block,6.000
street,children,0.286
street,place,5.538
stroke,hospital,1.929
student,professor,1.214
sugar,approach,0.214
summer,drought,2.714
summer,nature,2.200
telephone,communication,4.286
television,film,4.000
television,radio,3.214
tennis,racket,3.077
territory,kilometer,1.200
territory,surface,3.333
theater,history,1.857
tiger,animal,6.846
tiger,carnivore,6.154
tiger,cat,6.846
tiger,fauna,3.143
tiger,feline,5.071
tiger,jaguar,4.500
tiger,mammal,5.923
tiger,organism,2.800
tiger,tiger,10.000
tiger,zoo,2.846
tool,implement,4.500
train,car,3.214
travel,activity,2.769
treatment,recovery,5.000
type,kind,6.538
victim,emergency,2.538
video,archive,2.846
viewer,serial,0.786
vodka,brandy,3.500
vodka,gin,5.500
volunteer,motto,1.143
war,troops,3.000
water,seepage,2.769
weapon,secret,1.500
weather,forecast,5.067
Wednesday,news,1.000
wood,forest,7.214
word,similarity,0.923
