cs_word_1,cs_word_2,average
drsný,krutý,7.55555555556
drát,kabel,8.25
dub,javor,4.75
dveře,brána,5.375
dveře,chodba,1.375
dveře,kuchyně,1.125
dveře,podlaha,1.75
dveře,sklep,1.5
dveře,vchod,6.75
dvojice,pár,8.875
dáma,pán,4.25
dát,dovolit,3.25
dát,položit,3.875
dát,pověsit,3.625
dát,půjčit,4.625
dát,půjčit,2.5
dát,ukrást,2.25
dát,vědět,1.625
dát,zamítnout,1.25
déšť,mlha,3.125
díra,dohoda,0.5
díra,manželka,0.5
dítě,dospělý,3.375
dítě,kluk,5.5
dívka,dítě,4.625
dívka,služebná,4.75
dýchat,dusit,2.375
dýmka,doutník,5.75
dělat,přestat,1.75
dělat,přihodit,2.5
dětinský,pošetilý,4.11111111111
dřevo,papír,3.125
dřevo,poleno,7.0
důkaz,fakt,8.0
dům,byt,5.875
dům,klíč,2.125
dům,koberec,1.0
dům,stodola,3.625
důvěra,já,0.0
elastický,ohebný,7.88888888889
elegance,styl,6.375
emoce,vášeň,4.0
exotický,vzácný,5.11111111111
fakt,vhled,1.5
film,film,10.0
formální,řádný,5.88888888889
frustrace,hněv,4.0
fráze,slovo,5.75
hadice,zahrada,1.125
herec,zpěvák,3.5
herečka,herec,5.75
hlava,nehet,1.0
hloubka,rozsah,5.125
hloupý,pitomý,8.44444444444
hluk,rachot,7.75
hmyz,včela,4.625
hněv,nálada,3.25
hněv,zuřivost,7.875
hodnota,víra,5.625
hojnost,spousta,6.375
hora,římsa,1.25
horečka,nemoc,4.375
housle,nástroj,5.375
hra,akce,2.375
hra,trik,2.5
hra,zábava,5.0
hrdinka,hrdina,6.125
hrdlo,nos,1.125
hrnec,spotřebič,1.5
hudba,melodie,6.0
hysterie,zmatek,6.25
hříšník,světec,3.0
ignorovat,prozkoumat,1.25
ignorovat,vyhýbat,6.375
ignorovat,zeptat,1.875
informovat,oznámit,7.5
inteligence,dovednost,4.0
inteligence,logika,4.75
inteligence,vhled,2.5
jablko,citrón,3.0
jablko,džus,3.0
jablko,omáčka,1.625
jablko,sladkost,2.75
jablko,svit,0.25
jazyk,hrdlo,2.25
jednoduchý,snadný,9.22222222222
jezero,bažina,4.75
jih,sever,4.5
jmenovat,zvolit,7.0
játra,plíce,3.5
jídlo,pás,0.25
jídlo,večeře,6.0
jít,dovolit,2.25
jít,poslat,1.75
jít,prodat,1.125
jít,přijít,6.125
jít,vstoupit,4.25
kabelka,taška,7.0
kamera,prezident,0.5
kapela,orchestr,6.375
kapela,průvod,3.125
kapitola,ocas,0.25
kapitola,volba,1.5
kapitán,námořník,4.375
karta,most,0.25
kaňon,údolí,5.625
klakson,buben,3.125
klub,společnost,5.25
kluk,dítě,6.5
kluk,partner,6.625
kluk,syn,6.375
kluk,voják,3.625
kniha,bible,5.5
kniha,esej,4.0
kniha,informace,2.875
kniha,literatura,6.125
kniha,příběh,5.625
kniha,text,3.875
kniha,téma,1.375
kniha,téma,1.625
kniha,článek,5.25
kněz,mnich,5.0
kolo,ložnice,0.125
komunikace,jazyk,5.625
komunikace,rozhovor,7.75
komunikace,televize,2.875
komunikovat,modlit,1.625
končetina,noha,6.625
kopec,útes,3.125
korporace,podnik,7.125
kost,koleno,2.625
kost,kotník,2.25
kost,krk,1.625
kost,loket,3.25
kost,zuby,2.0
kost,čelist,3.5
kostel,sbor,2.25
kotník,okno,0.375
koupelna,kuchyně,3.375
koupelna,ložnice,3.25
kov,hliník,5.375
kočka,králík,3.0
kočka,lev,5.0
kočka,mazlíček,5.75
kořen,tráva,2.125
krabice,budka,2.625
krabice,doutník,1.125
krabice,výtah,0.75
krabice,čepice,0.625
krev,maso,1.75
krev,morek,2.375
krk,páteř,2.5
krysa,myš,7.25
král,princezna,2.25
krása,věk,1.875
krásný,báječný,6.33333333333
krátký,dlouhý,3.0
kráva,dobytek,6.875
kráva,koza,4.5
kurz,žaludek,0.625
kuře,rýže,2.125
kuře,stejk,4.375
květina,cibule,1.5
květina,fialka,6.625
květina,keř,4.75
květina,vytrvalost,0.875
kytara,buben,3.875
kámoš,společník,7.25
kód,symbol,4.875
křehký,frigidní,1.22222222222
křivka,úhel,2.375
kůň,hříbě,6.125
kůň,kobyla,7.0
kůň,vůl,3.625
ledvina,orgán,5.5
len,tkanina,5.125
letadlo,letiště,2.5
letadlo,tryskáč,7.0
letectví,let,3.75
levný,laciný,8.88888888889
lidé,balón,0.375
lidé,cent,0.25
lidé,párty,1.83333333333
lidé,zbraň,0.875
lihovina,kapela,0.375
lihovina,století,0.75
logika,aritmetika,4.25
loket,kotník,1.75
loď,auto,2.375
loď,kotva,1.5
loď,paluba,3.5
láhev,nádoba,6.25
lékař,doktor,7.875
lžíce,šálek,1.5
manželka,manžel,5.625
manželka,sláma,1.25
marihuana,bylina,5.5
maso,chléb,2.375
maso,sendvič,2.625
maso,slanina,5.0
masy,dav,7.5
matka,manželka,5.125
matka,poručník,5.125
mazaný,bystrý,4.44444444444
mazaný,odolný,2.125
mazaný,zvláštní,1.875
menu,objednávka,3.25
metr,palec,2.25
metr,yard,4.875
mez,hranice,8.375
milenec,společník,6.25
milý,krutý,3.33333333333
milý,štědrý,5.22222222222
miminko,dcera,5.5
miska,ocas,0.25
mluvit,slyšet,2.75
mluvit,uznat,2.25
mléko,džus,3.875
moderní,starodávný,2.33333333333
molekula,atom,4.625
molekula,vzduch,1.125
motel,hostinec,6.5
motor,loď,1.625
motor,motor,10.0
moudrost,inteligence,6.25
moře,oceán,5.5
mrak,bouřka,3.875
mrak,mlha,4.25
mrak,mlha,4.0
mrak,opar,3.5
mrak,počasí,3.25
mrholení,déšť,6.375
muž,dítě,2.125
muž,hlídka,2.0
muž,manžel,7.125
muž,otec,5.0
muž,strýc,4.5
muž,válečník,5.25
muž,vítěz,2.875
muži,bratrství,3.25
myslet,dotazovat,1.875
myslet,racionalizovat,5.5
myslet,rozhodnout,2.625
myš,kočka,3.0
myš,řízení,0.625
myšlenka,obraz,1.375
myšlenka,plán,4.75
máslo,brambora,1.625
médium,zprávy,4.75
místnost,buňka,4.5
místnost,postel,1.25
míč,dělo,0.75
míč,kostým,0.125
míč,košík,1.5
míč,rukavice,0.75
měsíc,planeta,3.375
mříž,klec,6.0
nahradit,obnovit,6.375
najít,zmizet,1.875
napodobit,zobrazit,2.625
narozeniny,datum,2.625
narozeniny,rok,2.25
nastat,přihodit,6.875
naštvaný,potěšený,2.0
nebe,vesmír,3.75
nebezpečí,hrozba,8.375
nebezpečí,onemocnění,2.375
nedostatkový,vzácný,7.33333333333
nedávný,nový,5.0
nehet,palec,3.875
nehet,ruka,2.875
nehoda,katastrofa,7.0
nehoda,nouze,3.625
neklidný,mladý,2.0
nelegální,nemorální,4.44444444444
nemoc,infekce,5.375
nemocný,bláznivý,3.33333333333
nepřítomnost,přítomnost,3.625
nerv,mozek,2.0
netrpělivý,úzkostlivý,2.55555555556
netvor,démon,7.0
nevědomost,inteligence,1.375
nevěsta,princezna,4.0
nezbytný,potřebný,8.44444444444
nešťastný,naštvaný,5.11111111111
noc,den,4.0
noc,kapitola,0.75
noc,úsvit,3.0
noha,paže,2.75
norek,kožešina,4.5
nos,ústa,2.0
noviny,informace,4.125
nový,starodávný,2.22222222222
nový,čerstvý,6.22222222222
nádoba,myš,0.25
nálada,emoce,6.0
námořnictvo,armáda,4.375
nápadný,zřejmý,6.42857142857
násilný,naštvaný,3.66666666667
násobit,dělit,4.125
násobit,přidat,2.5
názor,myšlenka,6.625
názor,volba,4.75
nést,přinést,6.0
obdržet,dát,2.25
obilnina,pšenice,6.375
objasnit,vysvětlit,7.75
objektiv,kamera,5.125
objevit,pocházet,1.875
oblast,region,7.875
oblast,roh,0.75
oblast,zóna,8.375
oblečení,bunda,4.625
oblečení,kabát,5.125
oblečení,knoflík,1.75
oblečení,skříň,1.75
oblečení,tkanina,3.25
oblečení,tkanina,3.875
oblečení,šuplík,1.125
obočí,oko,2.75
obrovský,pitomý,1.25
obtížný,jednoduchý,2.44444444444
odejít,vstoupit,2.25
odejít,zůstat,2.75
odmítnout,vyhýbat,2.375
odpustit,zapomenout,3.5
odraz,obraz,3.25
ohař,liška,3.375
okno,dveře,2.625
oko,slza,2.5
okolnost,situace,8.125
olej,norek,0.0
onemocnění,infekce,6.375
opatrovat,ponechat,1.875
opustit,bloudit,1.375
opustit,ignorovat,2.25
opustit,jít,4.625
opustit,zjevit,1.83333333333
organizovat,stát,1.75
orgán,játra,4.75
ortodentista,zubař,6.0
oslava,obřad,6.25
ostrov,úkol,0.75
ostrý,tupý,2.77777777778
otec,bratr,3.125
otec,bůh,3.125
otec,dcera,1.875
otec,rodič,7.625
ovce,dobytek,3.5
ovce,jehně,5.625
ověřit,ospravedlnit,3.0
ošetřovatelka,vědec,2.375
pakt,dohoda,7.375
pakt,podmínka,2.25
palec,prst,6.875
paluba,myš,0.5
paprsek,svit,4.375
papír,kartón,5.75
paže,koleno,1.5
paže,kost,2.375
paže,krk,1.875
paže,rameno,5.25
paže,sval,2.375
paže,tělo,2.5
paže,zápěstí,3.625
paže,žíla,1.75
peníze,diamant,2.875
peníze,kapitál,6.125
peníze,perla,1.25
peníze,plat,5.875
pes,kočka,4.125
pes,kůň,3.125
pistole,dělo,4.5
pitomý,chytrý,2.88888888889
pitomý,inteligentní,2.44444444444
pitomý,natvrdlý,7.0
pitomý,pošetilý,4.55555555556
pitomý,vzácný,1.0
pivo,alkohol,5.83333333333
pivo,nápoj,6.5
pivo,šampaňské,4.625
pláž,moře,3.625
pláž,ostrov,3.375
pláž,pobřeží,5.5
pláž,útes,2.125
pobřeží,pobřeží,10.0
podlaha,paluba,3.75
podlaha,strop,3.625
podmínka,kluk,0.375
podnik,průmysl,4.5
podnik,společnost,7.25
pohodlí,bezpečnost,3.375
pohovka,baseball,0.5
pohovka,židle,5.375
pokoj,vana,1.25
poleno,dřevo,6.625
poleno,vana,0.375
policajt,šerif,6.25
politik,prezident,4.625
polyester,bavlna,2.75
pomluvy,zprávy,3.75
pomocník,služka,6.75
ponechat,chránit,2.5
ponechat,dát,3.5
ponechat,půjčit,2.0
ponechat,vlastnit,3.0
poplatek,plat,2.75
poplatek,platba,6.875
populace,lidé,7.25
popření,přiznání,3.0
porovnat,analyzovat,5.875
poslat,obdržet,2.5
poslat,zúčastnit,1.375
poslouchat,dodržovat,5.0
poslouchat,slyšet,5.625
postel,ložnice,3.25
postel,nemocnice,1.625
postel,nábytek,4.25
postel,pohovka,6.125
postel,postýlka,8.875
postel,přikrývka,2.375
postel,židle,2.0
postoj,důvěra,1.75
postýlka,kolébka,7.5
potěšit,bavit,5.0
potěšit,žádat,1.75
potřebný,důležitý,7.88888888889
povzbudit,odradit,3.625
pozdravit,potkat,3.625
pozornost,povědomí,2.75
pozornost,zájem,7.0
pracovník,kamera,1.0
pracovník,mechanik,5.25
pracovník,zaměstnavatel,2.75
prezident,starosta,3.5
princ,král,4.25
princezna,ostrov,0.5
prohlásit,oznámit,6.5
prohrát,dostat,2.375
prohrát,ponechat,2.0
prohrát,selhat,6.625
protivník,oponent,8.625
prozkoumat,objevit,5.625
prozkoumat,prohlédnout,8.33333333333
prst,dlaň,2.125
práce,řízení,1.25
právník,bankéř,2.25
právo,spravedlnost,5.375
pták,jestřáb,5.5
pták,krocan,4.75
pták,slepice,4.25
píseň,příběh,3.625
písmeno,odstavec,2.75
předpojatost,názor,3.75
předpokládat,předpovědět,6.375
předpokládat,předstírat,3.5
předstírat,představit,2.125
předstírat,zdát,2.375
předstírat,zobrazit,1.75
překonat,dominovat,4.25
přesvědčený,jistý,7.11111111111
přidat,budovat,1.5
přidat,dělit,1.5
přijmout,doporučit,2.125
přijmout,doručit,3.125
přijmout,odmítnout,3.75
přijmout,odmítnout,3.625
přijmout,odpustit,2.5
přijmout,uznat,6.375
přijmout,věřit,3.75
přijít,přinést,2.75
přijít,účastnit,5.875
přiložit,připojit,6.125
přinést,obnovit,2.5
přinést,poslat,2.375
přinést,stěžovat,1.875
připojit,přidat,6.875
připojit,vzít,1.625
připojit,získat,2.375
připomenout,prodat,1.375
připomenout,zapomenout,3.125
přátelský,štědrý,4.33333333333
příběh,téma,4.0
přítel,host,4.5
přítel,kámoš,8.0
přítel,matka,3.75
přítel,učitel,1.75
přítel,člověk,4.875
přítomnost,dveře,0.375
půjčit,chtít,2.125
půjčit,prodat,2.75
půjčit,žebrat,2.5
rabín,duchovní,5.5
radit,doporučit,6.875
radost,hrdost,2.625
rakovina,nemoc,6.0
rameno,hlava,2.375
realita,fantazie,2.75
realita,iluze,3.5
rodič,dospělý,4.625
rozdílný,normální,1.88888888889
rozhodnout,vybrat,6.875
rozjímat,myslet,4.25
rozkošný,báječný,4.66666666667
rozkošný,veselý,2.33333333333
rozsáhlý,obrovský,8.44444444444
rozsáhlý,ohebný,1.375
rozsáhlý,velký,6.88888888889
rozumět,odpustit,2.125
rozumět,poslouchat,3.125
rozumět,vědět,4.75
rozvrátit,organizovat,1.5
rozšířit,růst,5.875
ruka,chodidlo,2.875
ruka,palec,3.33333333333
ruka,zápěstí,4.75
rychlý,překotný,7.44444444444
rytmus,melodie,6.125
rámus,hluk,9.25
rýže,fazole,2.75
rýže,kluk,0.375
salát,ocet,1.75
sbírat,šetřit,3.625
schopnost,způsobilost,6.875
schůzka,závazek,3.125
scvrknout,vyrůst,2.375
sekunda,minuta,5.375
selhat,odradit,3.125
semínko,hořčice,2.0
sendvič,oběd,3.875
sever,západ,3.625
shromáždit,potkat,5.5
shromáždit,zúčastnit,4.375
silný,hrdý,3.44444444444
situace,podmínka,1.875
skladatel,spisovatel,4.875
sklenice,láhev,3.66666666667
sklo,křišťál,4.625
skromný,ohebný,1.375
skromný,zahanbený,1.77777777778
skvělý,příšerný,2.88888888889
slanina,fazole,2.625
slepice,krocan,3.875
slovník,definice,2.75
slovo,literatura,2.0
slovo,noviny,2.125
slovo,slovník,2.875
slovo,strana,0.875
slovo,vodítko,0.875
slunce,nebe,3.25
smrt,katastrofa,3.83333333333
smrt,pohřeb,3.25
smrt,tragédie,5.875
smutek,ostuda,1.875
smutný,hrozný,2.22222222222
smutný,legrační,2.44444444444
smysl,intuice,4.625
smyčka,opasek,1.875
smělý,hrdý,3.125
snadný,obtížný,3.22222222222
snadný,odolný,1.44444444444
snadný,ohebný,1.44444444444
snadný,velký,1.44444444444
snídaně,slanina,3.625
snídaně,večeře,3.75
sníh,bouře,3.0
sníh,počasí,3.0
snížit,scvrknout,4.375
soud,rozsudek,4.875
souhlasit,argumentovat,2.75
souhlasit,lišit,2.25
souhlasit,potěšit,2.5
soumrak,svítání,4.25
soumrak,večer,7.0
spodek,strana,2.875
spodek,vršek,4.0
spokojenost,štěstí,5.875
spolupracovat,připojit,4.375
spolupracovat,účastnit,4.625
srdce,operace,2.0
srpen,měsíc,4.625
starý,nový,2.88888888889
starý,čerstvý,1.88888888889
steak,maso,6.875
stroj,motor,5.25
strom,javor,5.625
strop,katedrála,1.875
stránka,odstavec,2.625
strýc,teta,3.0
student,profesor,3.125
student,žák,8.75
styl,móda,6.375
stát,zdát,1.25
stát,zjevit,3.875
stěna,cihla,1.875
stěna,dekorace,1.5
stěžovat,argumentovat,4.125
střecha,podlaha,2.125
střecha,strop,5.125
střevo,nerv,1.75
sval,jazyk,3.0
sval,kost,1.625
svetr,bunda,5.0
svižný,překotný,5.66666666667
svět,zeměkoule,6.375
syn,otec,3.125
síla,moc,7.75
síla,schopnost,5.25
tabák,cigareta,5.0
talíř,miska,5.375
taxi,taxík,9.5
taxík,autobus,3.25
tele,býk,4.875
telefon,budka,5.0
terč,šíp,1.875
teta,synovec,2.625
toulat,bloudit,7.5
trik,velikost,0.625
tráva,list,2.75
tráva,mech,3.375
tupý,legrační,1.77777777778
tvrdý,natvrdlý,3.22222222222
tvář,jazyk,1.625
tvůrce,výrobce,6.375
tyč,vězení,1.25
tyč,záclona,0.75
tábor,chata,2.875
táta,matka,4.875
tělo,hruď,3.25
tělo,nerv,2.5
tělo,páteř,2.875
tělo,rameno,1.875
tělo,žaludek,2.0
těžký,jednoduchý,3.0
těžký,obtížný,8.0
těžký,odolný,3.55555555556
těžký,snadný,2.88888888889
udělat,postavit,5.25
udělat,stát,1.75
udělat,vydělat,2.75
uhel,uhlí,5.0
ukrást,koupit,2.5
ulice,auto,0.875
ulice,ulička,8.625
ulička,chodba,6.0
ulička,hala,2.375
ulička,miska,0.375
upřímný,vinný,1.22222222222
určit,předpovědět,6.25
určitý,jistý,7.44444444444
usilovat,přesvědčit,3.5
uskutečnit,objevit,2.25
uspokojit,potěšit,7.25
uspořádat,organizovat,6.875
uspořádat,vyžadovat,1.625
uspět,selhat,2.875
uspět,zkusit,2.25
ustoupit,odmítnout,4.125
utratit,šetřit,2.5
utrpení,zármutek,7.625
uzavřít,rozhodnout,4.875
uznat,oznámit,2.375
učebna,chodba,1.875
učit,poslouchat,4.0
učit,vyhodnotit,1.75
učitel,instruktor,7.625
učitel,pomocník,3.0
učitel,rabín,3.375
užívat,bavit,7.25
vagón,nádoba,1.125
vagón,vůz,7.375
vana,balón,0.5
vana,manželka,0.25
vana,trik,0.25
velikost,rozsah,6.875
velký,těžký,4.0
velký,široký,4.88888888889
večer,soumrak,6.125
večeře,jídlo,6.0
večeře,kuře,3.875
večeře,polévka,5.25
večeře,snídaně,3.5
vinný,zahanbený,3.0
vitamín,železo,5.0
vize,vnímání,3.0
voda,led,4.375
voda,sůl,1.5
volba,žíla,0.125
vozidlo,autobus,5.75
vršek,strana,3.25
vstoupit,dlužit,1.125
vstřebat,ustoupit,1.625
vstřebat,učit,4.75
vstřebat,vlastnit,1.5
vybrat,zvolit,9.0
vyhlásit,oznámit,7.75
vyhrát,dokončit,4.625
vyhrát,dominovat,6.0
vyhrát,uspět,6.875
vylekaný,úzkostlivý,4.22222222222
vypátrat,najít,8.25
vysvětlit,dokázat,4.5
vytratit se,zmizet,8.375
vytrvalost,kapela,0.625
vytvořit,budovat,5.125
vytvořit,představit,2.875
vytvořit,udělat,7.125
vytvořit,zničit,3.25
vyšetřovat,prohlédnout,5.625
vyšetřovat,usilovat,2.625
vyžadovat,dotazovat,4.0
vzduch,hélium,3.125
vzorec,poleno,0.25
vzorec,rovnice,6.375
vzít,doručit,3.5
vzít,nést,3.625
vzít,obdržet,4.5
vzít,odejít,2.75
vzít,ukrást,6.125
vzít,vlastnit,3.125
vzít,získat,5.5
víkend,týden,3.375
víno,brandy,4.875
víno,lihovina,4.125
víra,dojem,2.125
víra,koncept,3.5
víra,květina,0.625
víra,názor,4.5
vítěz,cíl,4.875
vítěz,kandidát,2.5
vítěz,přítomnost,0.375
vítězství,triumf,8.5
východ,průchod,2.875
výdrž,síla,6.125
včela,královna,2.875
včela,mravenec,3.0
věda,psychologie,4.875
vědět,chápat,5.625
vědět,věřit,3.375
vězení,volba,0.5
věž,zvon,2.125
věžička,kaple,4.625
vůdce,manažer,6.5
whisky,gin,5.375
whisky,šampaňské,4.75
yard,palec,3.625
zabít,bránit,2.125
zabít,dusit,5.25
zabít,pověsit,5.75
zabít,zničit,6.75
zachránit,ochraňovat,6.125
zadání,úkol,6.625
zaměstnavatel,zaměstnanec,2.875
zapomenout,ignorovat,2.5
zapomenout,učit,1.25
zapomenout,vědět,2.75
zapomenout,zachovat,2.125
zasloužit,vydělat,4.375
zasnoubit,oženit,5.125
zatížený,těžký,4.33333333333
začít,jít,3.625
začít,přestat,3.5
začít,vzniknout,4.5
zbraň,kožešina,0.875
zbraň,nůž,6.375
zbraň,trik,0.75
zbraň,úsvit,0.875
zbytečný,potřebný,2.55555555556
zdvořilý,řádný,3.44444444444
zeptat,modlit,1.125
zeptat,žádat,6.25
zima,léto,3.625
zima,období,3.5
zjevit,zúčastnit,3.75
zjevný,zřejmý,8.77777777778
zkusit,myslet,1.0
zločin,krádež,6.625
zločin,podvod,7.0
zločin,porušení,5.0
zmizet,scvrknout,3.5
znečištění,ovzduší,1.25
znečištění,prezident,0.5
zničit,postavit,3.125
zničit,udělat,3.0
zobrazit,oznámit,3.875
zobrazit,rozhodnout,1.16666666667
zoufalství,bída,5.25
způsobilost,dovednost,6.25
zrno,káva,3.0
zubař,plukovník,1.125
zvláštní,mazaný,2.0
zvláštní,podivný,7.88888888889
zvon,dveře,0.75
zvíře,člověk,2.5
zábava,fotbal,2.625
zábradlí,plot,5.5
zásadní,důležitý,8.33333333333
získat,dostat,6.875
získat,najít,4.375
získat,obdržet,8.25
zúčastnit,dorazit,5.0
zůstat,zachovat,5.375
éra,desetiletí,5.875
úkol,dálnice,0.375
úkol,práce,6.375
úkol,sláma,0.25
úkol,žena,0.25
úkryt,chatrč,3.375
úsilí,obtížnost,3.25
ústa,ret,5.875
ústa,zub,3.125
útes,ocas,0.5
úzký,široký,2.88888888889
účastnit,připojit,4.875
úžasný,naštvaný,1.375
čepice,kabát,2.625
čerstvý,široký,1.25
činnost,pohyb,5.125
člověk,cvok,3.5
člověk,dívka,5.0
člověk,partner,5.0
článek,časopis,4.375
čokoláda,koláč,4.25
číst,chápat,2.25
řeka,moře,3.75
řeka,potok,5.875
řeka,údolí,1.75
řidič,pilot,5.875
říct,ověřit,2.0
říct,účastnit,1.125
šampión,vítěz,7.75
široký,úzký,2.77777777778
škola,známka,2.5
škola,zákon,1.25
špatný,hrozný,6.88888888889
špatný,nemorální,5.66666666667
špatný,příšerný,8.11111111111
špatný,skvělý,2.44444444444
špatný,vinný,2.0
špatný,úžasný,2.88888888889
špinavý,levný,1.66666666667
špinavý,úzký,1.125
štěstí,mír,3.0
šálek,kornout,1.5
šálek,sklenice,5.5
šéf,starosta,4.625
šílený,bláznivý,7.88888888889
šťastný,mladý,1.55555555556
šťastný,naštvaný,2.0
šťastný,naštvaný,2.33333333333
šťastný,potěšený,7.55555555556
šťastný,veselý,7.44444444444
žaludek,ložnice,0.125
žaludek,pás,2.25
žaludek,žíla,1.375
žebrat,zeptat,2.875
žena,kožešina,0.125
žena,manželka,7.625
žena,muž,4.125
žena,sekretářka,4.625
ženich,nevěsta,4.375
židle,lavička,6.125
životopis,beletrie,2.625
žádat,žebrat,4.0
žák,prezident,1.375
