sprint;Sprint Nextel
star;Star
stove;Stove
string;String
stupid;Stupid!
substance;Substance
sun;Sun
surface;Surface
tableware;Tableware
team;Team
term;Term
terror;Terror
thunderstorm;Thunderstorm
ticket;Ticket
tournament;Tournament
trading;Trading
troops;Troop
valor;Valor
victory;Victory
virtuoso;Virtuoso
voyage;Voyage
warning;Warning
wealth;Wealth
wine;Wine
withdrawal;Withdrawal
wizard;Wizard
woman;Woman
woodland;Woodland
world;World
year;Year
yen;Japanese yen
zoo;Zoo
